Wavelength	Abs
349	0.1191855595
348	0.1043118164
347	0.103318505
346	0.1061349437
345	0.1061842218
344	0.1050564051
343	0.1072714403
342	0.1072447971
341	0.1070591733
340	0.1081983224
339	0.1094681472
338	0.1095467284
337	0.1110394076
336	0.1108540893
335	0.1124490574
334	0.1116653532
333	0.1137606576
332	0.1145690456
331	0.1143551022
330	0.1156062931
329	0.11622601
328	0.1174232811
327	0.118137151
326	0.1184003949
325	0.1201906875
324	0.1213935763
323	0.1219590455
322	0.12401779
321	0.1250302494
320	0.1260790378
319	0.12637797
318	0.1281556785
317	0.1295122057
316	0.1311048567
315	0.1332352012
314	0.1337440312
313	0.1365767121
312	0.1378883272
311	0.1382453144
310	0.1400134563
309	0.1422323883
308	0.1378734261
307	0.1395324618
306	0.1412730068
305	0.1440236866
304	0.1453839988
303	0.1482811421
302	0.1504846513
301	0.1534828097
300	0.1554401815
299	0.1591228247
298	0.1622362882
297	0.1649409682
296	0.1685299724
295	0.1719758362
294	0.175531894
293	0.1802493632
292	0.186899364
291	0.1927778423
290	0.2011021227
289	0.2084522098
288	0.2182873636
287	0.2308021486
286	0.2435789406
285	0.2598216534
284	0.2767326236
283	0.2984067798
282	0.3210421205
281	0.3469187915
280	0.374012351
279	0.4026686251
278	0.4312939942
277	0.4613071382
276	0.4908723533
275	0.519574821
274	0.5484981537
273	0.5769487023
272	0.6043596268
271	0.6303765774
270	0.6554429531
269	0.6792245507
268	0.700309515
267	0.7200144529
266	0.7371226549
265	0.7538893819
264	0.7664319873
263	0.7775789499
262	0.7864616513
261	0.7931978703
260	0.7982076406
259	0.8010282516
258	0.8023392558
257	0.8024046421
256	0.8004725575
255	0.7991263866
254	0.7976580858
253	0.7940879464
252	0.7914947271
251	0.7890377641
250	0.7858698368
249	0.7835647464
248	0.7813184857
247	0.7778346539
246	0.7773084044
245	0.7756976485
244	0.7773525715
243	0.7785055637
242	0.7823207378
241	0.7866173387
240	0.7924890518
239	0.7989569902
238	0.8075448275
237	0.8171207309
236	0.8274977803
235	0.8415206671
234	0.8565832973
233	0.8743805885
232	0.8947242498
231	0.9180428982
230	0.9436395764
229	0.9741451144
228	1.008140445
227	1.049001694
226	1.09637177
225	1.154317021
224	1.222583175
223	1.308707237
222	1.415430188
221	1.544921517
220	1.70579946
